id;reference_number;or_date;qty_ordered;qty_recieved;manufacturing_date;expiry_date;qty_approved;qty_rejected
1;Steel;2023-10-05T23:53:44;43859;50924;2023-10-05T06:54:45;2023-10-06T00:44:47;55191;40807
2;brand;2023-10-06T03:42:00;28171;74604;2023-10-05T14:00:52;2023-10-05T10:58:27;8422;25894
3;Marketing silver;2023-10-05T10:32:31;47841;63689;2023-10-05T16:35:22;2023-10-06T06:10:27;67287;38065
4;Street HTTP override;2023-10-05T14:28:01;51204;2081;2023-10-05T09:54:12;2023-10-06T05:01:53;30229;95779
5;Plastic;2023-10-05T22:09:30;88527;76898;2023-10-05T22:39:16;2023-10-05T08:47:12;11718;6192
6;Integration Avon;2023-10-05T14:46:16;31050;70695;2023-10-06T03:30:31;2023-10-06T05:18:21;21686;11681
7;monitor Algerian;2023-10-05T17:02:49;14009;62713;2023-10-06T03:17:50;2023-10-05T19:33:41;31661;46136
8;copying Account Supervisor;2023-10-05T06:50:23;61339;58406;2023-10-05T17:26:24;2023-10-05T19:21:21;69144;20137
9;whiteboard seize;2023-10-05T18:12:36;7068;91459;2023-10-05T20:41:31;2023-10-05T18:38:09;25527;70760
10;Account;2023-10-05T14:35:22;54556;32585;2023-10-05T21:21:07;2023-10-06T04:30:11;9683;54038
