id;project_name;start_date;end_date;order_quantity;final_total
1;Forward driver Checking;2023-10-05T22:59:12;2023-10-06T02:35:45;6642;93635
2;Gloves Common;2023-10-05T21:51:13;2023-10-05T13:58:20;92100;19110
3;Fresh digital Gorgeous;2023-10-05T11:00:08;2023-10-06T06:19:14;2229;5897
4;HDD Concrete Iowa;2023-10-05T19:05:21;2023-10-05T14:49:23;23630;24107
5;Decentralized HDD;2023-10-05T07:50:51;2023-10-06T01:11:58;98479;86866
6;Future;2023-10-06T01:09:09;2023-10-05T21:29:44;28737;43695
7;application fresh-thinking;2023-10-05T16:29:21;2023-10-06T01:12:16;37021;43935
8;Tunnel quantify;2023-10-06T03:24:00;2023-10-05T15:06:23;91303;68968
9;Iowa;2023-10-05T18:14:36;2023-10-06T01:57:10;59693;75326
10;generating;2023-10-05T13:26:57;2023-10-05T17:11:26;14343;18523
