id;reference_number;total_po_amount;total_gst_amount;po_date;expected_delivery_date;order_status
1;Proactive granular Optional;84575;28823;2023-10-05T17:12:56;2023-10-05T12:41:00;REQUESTED
2;moderator exuding Automotive;32597;66630;2023-10-05T11:42:28;2023-10-06T01:09:48;CANCELED
3;Versatile;46359;290;2023-10-06T02:01:06;2023-10-05T18:03:07;REQUESTED
4;bus Lats revolutionize;32785;53599;2023-10-05T21:05:58;2023-10-05T12:19:31;COMPLETED
5;Pierre PNG;32359;90315;2023-10-05T09:20:04;2023-10-06T02:28:42;CANCELED
6;global Representative;99705;14077;2023-10-06T01:49:31;2023-10-06T02:22:20;COMPLETED
7;Savings clear-thinking;1215;95117;2023-10-06T00:56:58;2023-10-05T20:38:31;RECEIVED
8;View;73500;63277;2023-10-05T07:32:47;2023-10-05T23:15:34;COMPLETED
9;RAM;78841;71744;2023-10-05T11:34:15;2023-10-05T14:11:32;REQUESTED
10;e-services compelling;52643;10387;2023-10-05T23:19:57;2023-10-05T13:53:46;COMPLETED
