id;qty_required;request_date;expected_date;status
1;31032;2023-10-05T09:29:24;2023-10-05T22:45:17;REQUESTED
2;64307;2023-10-06T01:07:16;2023-10-05T15:02:38;RECEIVED
3;62872;2023-10-05T22:44:35;2023-10-05T12:26:11;CANCELED
4;69041;2023-10-05T13:49:01;2023-10-05T15:24:49;COMPLETED
5;42716;2023-10-06T04:51:28;2023-10-05T20:46:29;RECEIVED
6;7832;2023-10-05T23:39:45;2023-10-06T00:37:54;COMPLETED
7;16782;2023-10-05T19:18:41;2023-10-05T20:31:07;COMPLETED
8;1884;2023-10-05T15:04:33;2023-10-06T02:47:53;COMPLETED
9;88732;2023-10-05T23:02:36;2023-10-05T16:32:56;APPROVED
10;28804;2023-10-05T10:11:04;2023-10-05T14:37:00;CANCELED
