id;order_date;quantity_sold;unit_price;gst_percentage;total_revenue;status
1;2023-10-06T06:17:35;12876;38854;71824;1370;ORDERED
2;2023-10-05T21:07:42;66626;62270;14054;99145;SHIPPED
3;2023-10-05T06:35:46;89554;68118;18897;49854;DELIVERED
4;2023-10-06T00:52:16;74215;53366;36285;43614;ORDERED
5;2023-10-05T10:47:27;69881;69991;51332;82400;DELIVERED
6;2023-10-05T14:15:48;9114;68374;74602;62175;DELIVERED
7;2023-10-06T02:16:12;70713;43404;13659;42826;SHIPPED
8;2023-10-05T12:47:06;73430;60928;52564;30937;DELIVERED
9;2023-10-05T09:46:03;52327;53220;15268;69197;DELIVERED
10;2023-10-05T19:07:42;61936;40717;25477;6371;ORDERED
